Post_ID,Platform,Post_Date,Post_Time,Post_Type,Content_Theme,Caption,Hashtags,Impressions,Reach,Likes,Comments,Shares,Saves,Profile_Visits,Link_Clicks,Followers_Before,Followers_After,Campaign_Name
P1,Facebook,2025-04-15,20:39,Image,Educational,Sample social media post caption 1,#marketing #socialmedia #AI,27398,23370,1985,468,255,395,508,542,51405,51551,Organic
P2,LinkedIn,2024-10-10,04:28,Text,Product Launch,Sample social media post caption 2,#marketing #socialmedia #AI,96723,61240,1895,280,108,148,808,81,50010,50030,Engagement Drive
P3,Instagram,2025-10-23,00:38,Reel,Educational,Sample social media post caption 3,#marketing #socialmedia #AI,56028,35522,2193,89,176,466,1186,623,2093,2198,Brand Awareness
P4,YouTube,2024-07-11,10:39,Text,Promotional,Sample social media post caption 4,#marketing #socialmedia #AI,80540,46964,1869,265,59,357,171,375,48322,48373,Lead Generation
P5,LinkedIn,2025-11-12,12:21,Text,Product Launch,Sample social media post caption 5,#marketing #socialmedia #AI,95273,42689,672,86,151,188,1655,298,60346,60365,Engagement Drive
P6,YouTube,2025-03-01,16:21,Carousel,Promotional,Sample social media post caption 6,#marketing #socialmedia #AI,73439,30219,3252,156,142,256,1663,426,40674,40829,Organic
P7,LinkedIn,2025-02-04,03:43,Text,Promotional,Sample social media post caption 7,#marketing #socialmedia #AI,17490,61573,2037,339,89,63,1587,898,34861,34895,Engagement Drive
P8,YouTube,2025-04-08,17:05,Carousel,Promotional,Sample social media post caption 8,#marketing #socialmedia #AI,41397,34586,4067,159,65,49,1981,150,17011,17153,Engagement Drive
P9,Facebook,2024-10-15,09:54,Image,Product Launch,Sample social media post caption 9,#marketing #socialmedia #AI,29928,60490,893,478,207,324,995,767,39772,39906,Lead Generation
P10,Facebook,2025-08-19,13:23,Video,Educational,Sample social media post caption 10,#marketing #socialmedia #AI,22523,73745,650,305,190,404,1666,737,2486,2519,Summer Campaign
P11,Facebook,2025-03-26,00:13,Video,Industry News,Sample social media post caption 11,#marketing #socialmedia #AI,87795,62768,2224,95,268,75,739,329,52012,52145,Summer Campaign
P12,Instagram,2025-06-26,02:14,Reel,Industry News,Sample social media post caption 12,#marketing #socialmedia #AI,58681,44110,2807,97,269,2,1609,219,82864,83058,Engagement Drive
P13,YouTube,2024-11-06,13:39,Reel,Promotional,Sample social media post caption 13,#marketing #socialmedia #AI,38917,20416,1214,377,130,229,544,90,76438,76579,Organic
P14,Instagram,2024-08-31,04:27,Image,Industry News,Sample social media post caption 14,#marketing #socialmedia #AI,15354,15724,1154,303,138,251,799,178,83213,83243,Organic
P15,Facebook,2025-01-25,21:22,Text,Product Launch,Sample social media post caption 15,#marketing #socialmedia #AI,51013,9985,2038,309,226,74,1398,245,76534,76707,Organic
