Post_ID,Platform,Post_Date,Post_Time,Post_Type,Content_Theme,Caption,Hashtags,Impressions,Reach,Likes,Comments,Shares,Saves,Profile_Visits,Link_Clicks,Followers_Before,Followers_After,Campaign_Name,CTR,Total_Engagement,Engagement_Rate,Virality_Score,Follower_Growth,Sentiment_Score,AI_Content_Score,Predicted_Content_Type
P1,Facebook,2025-04-15,20:39,Image,Educational,Sample social media post caption 1,#marketing #socialmedia #AI,27398,23370,1985,468,255,395,508,542,51405,51551,Organic,1.9782465873421415,3103,13.277706461275136,1.0911424903722722,146,0.03333333333333333,45,Customer Story
P2,LinkedIn,2024-10-10,04:28,Text,Product Launch,Sample social media post caption 2,#marketing #socialmedia #AI,96723,61240,1895,280,108,148,808,81,50010,50030,Engagement Drive,0.0837443007350888,2431,3.96962769431744,0.1763553233180927,20,0.03333333333333333,45,Customer Story
P3,Instagram,2025-10-23,00:38,Reel,Educational,Sample social media post caption 3,#marketing #socialmedia #AI,56028,35522,2193,89,176,466,1186,623,2093,2198,Brand Awareness,1.111944027986007,2924,8.231518495580204,0.4954675975451832,105,0.03333333333333333,45,Customer Story
P4,YouTube,2024-07-11,10:39,Text,Promotional,Sample social media post caption 4,#marketing #socialmedia #AI,80540,46964,1869,265,59,357,171,375,48322,48373,Lead Generation,0.4656071517258505,2550,5.429690827016438,0.1256281407035175,51,0.03333333333333333,45,Customer Story
P5,LinkedIn,2025-11-12,12:21,Text,Product Launch,Sample social media post caption 5,#marketing #socialmedia #AI,95273,42689,672,86,151,188,1655,298,60346,60365,Engagement Drive,0.3127853641640339,1097,2.569748647192485,0.3537210991121834,19,0.03333333333333333,45,Customer Story
P6,YouTube,2025-03-01,16:21,Carousel,Promotional,Sample social media post caption 6,#marketing #socialmedia #AI,73439,30219,3252,156,142,256,1663,426,40674,40829,Organic,0.5800732580781329,3806,12.594725172904464,0.4699030411330619,155,0.03333333333333333,45,Customer Story
P7,LinkedIn,2025-02-04,03:43,Text,Promotional,Sample social media post caption 7,#marketing #socialmedia #AI,17490,61573,2037,339,89,63,1587,898,34861,34895,Engagement Drive,5.134362492853059,2528,4.105695678300554,0.1445438747502964,34,0.03333333333333333,45,Customer Story
P8,YouTube,2025-04-08,17:05,Carousel,Promotional,Sample social media post caption 8,#marketing #socialmedia #AI,41397,34586,4067,159,65,49,1981,150,17011,17153,Engagement Drive,0.3623450974708312,4340,12.548430000578268,0.1879373156768634,142,0.03333333333333333,45,Customer Story
P9,Facebook,2024-10-15,09:54,Image,Product Launch,Sample social media post caption 9,#marketing #socialmedia #AI,29928,60490,893,478,207,324,995,767,39772,39906,Lead Generation,2.562817428495055,1902,3.144321375433956,0.3422053231939164,134,0.03333333333333333,45,Customer Story
P10,Facebook,2025-08-19,13:23,Video,Educational,Sample social media post caption 10,#marketing #socialmedia #AI,22523,73745,650,305,190,404,1666,737,2486,2519,Summer Campaign,3.272210629134662,1549,2.1004813885687166,0.2576445860736321,33,0.03333333333333333,45,Customer Story
P11,Facebook,2025-03-26,00:13,Video,Industry News,Sample social media post caption 11,#marketing #socialmedia #AI,87795,62768,2224,95,268,75,739,329,52012,52145,Summer Campaign,0.3747366023122045,2662,4.241014529696661,0.4269691562579658,133,0.03333333333333333,45,Customer Story
